;;;;;;
DT0C-W10;Inbouwdoos Touchscreen 10” ;1 st.;90 €;90 €;;
DT0C-W7;"Inbouwdoos Touchscreen  7""";0 st.;35 €;0 €;;
DT0C-W10T;"Xillo trimless kit voor 10"" touchscreen";0 st.;100 €;0 €;;
;;;;;;
;Programmatie domotica (+/-);4 st.;79 €;316 €;;
;;;;;;
;Totaal basis domotica;;;;;
;Totaal uitbreiding domotica;;;;;
;Totaal Touchscreens;;;;;
;;;;;;
;Totaal domotica;;0 €;;;
;;;;;;
;Duotecno schakelaars;;;;;
;;;;;;
;Duotecno inputs enkelvoudig;;;;;
;Hendels/Buttons enkelvoudig;0 st.;;0 €;;
;;0 st.;;;;
;Duotecno inputs tweevoudig;;;;;
;Hendels/Buttons tweevoudig;0 st.;;0 €;;
;;0 st.;;;;
;Duotecno inputs viervoudig;;;;;
;Touchbuttons/Hendels/Buttons viervoudig;4 st.;;0 €;;
;Kies materiaal en kleur;-4 st.;;;;
;druktoetsen of bewegingssensoren kunnen aangesloten worden;4 st.;;;;
;te voeden modules, schermen en aanraakschakelaars;-4 st.;;;;
;Touchbuttons viervoudig ;;;;;
;;;;;;
DTBS-4Ag;Aanraakschakelaar op bus 4 kan., 8 functies in alu grijs;0 st.;290 €;0 €;;
DTBS-4Ab;Aanraakschakelaar op bus 4 kan., 8 functies in alu zwart;0 st.;290 €;0 €;;
DTBS-4ALw;Aanraakschakelaar op bus 4 kan., 8 functies in alu wit;0 st.;320 €;0 €;;
DTBS-4Gw;Aanraakschakelaar op bus 4 kan., 8 functies in wit glas;0 st.;290 €;0 €;;
DTBS-4Gb;Aanraakschakelaar op bus 4 kan., 8 functies in zwart glas;0 st.;290 €;0 €;;
DTBS-4Br;Aanraakschakelaar op bus 4 kan., 8 functies in brons;0 st.;390 €;0 €;;
DTBS-4BrL;Aanraakschakelaar op bus 4 kan., 8 functies in brons light;0 st.;390 €;0 €;;
DTBS-4GM;Aanraakschakelaar op bus 4 kan., 8 functies in gun metal;0 st.;390 €;0 €;;
DTBS-4BG;Aanraakschakelaar op bus 4 kan., 8 functies in brushed gold;0 st.;390 €;0 €;;
DTBS-4Cw;Aanraakschakelaar op bus 4 kan., 8 functies in Corian wit;0 st.;290 €;0 €;;
DTBS-4CKw;Aanraakschakelaar op bus 4 kan., 8 functies in Corian wit kruis;0 st.;290 €;0 €;;
;;;;;;
DTBS-4INV;Aanraakschakelaar op bus 4 kanalen, 8 functies Invisible;0 st.;290 €;0 €;;
DTBS-4INT;Aanraakschakelaar op bus 4 kanalen, 8 functies Integrated;0 st.;250 €;0 €;;
;;;;;;
;Inbouwdoos voor trimless/invisible touchbutton;0 st.;135 €;0 €;;
;;;;;;
;Inbouwdoos voor integrated touchbutton;0 st.;210 €;0 €;;
;;;;;;
;;;;;;
DT0E-0S;Drukknopinterface 8 NO/NC contacten => CAN-bus;0 st.;150 €;0 €;;
;;;;;;
;Essence drukknop;;;;;
;;;;;;
DTBS-ES1b;1 drukknop op bus zwart;0 st.;120 €;0 €;;
DTBS-ES1w;1 drukknop op bus wit;0 st.;120 €;0 €;;
;;;;;;
DTBS-ES2b;2 drukknoppen op bus zwart;0 st.;125 €;0 €;;
DTBS-ES2w;2 drukknoppen op bus wit;0 st.;125 €;0 €;;
;;;;;;
DTBS-ES4b;4 drukknoppen op bus zwart;0 st.;130 €;0 €;;
DTBS-ES4w;4 drukknoppen op bus wit;0 st.;130 €;0 €;;
;;;;;;
;;;;;;
;Serenity button drukknop enkelvoudig;;;;;
;;;;;;
DTBS-B1Ab;Schakelaar op bus 1 drukknop alu zwart;0 st.;200 €;0 €;;
DTBS-B1Ag;Schakelaar op bus 1 drukknop alu grijs;0 st.;200 €;0 €;;
DTBS-B1Alw;Schakelaar op bus 1 drukknop alu lak wit;0 st.;230 €;0 €;;
DTBS-B1Br;Schakelaar op bus 1 drukknop brons;0 st.;300 €;0 €;;
DTBS-B1BrL;Schakelaar op bus 1 drukknop brons light;0 st.;300 €;0 €;;
DTBS-B1GM;Schakelaar op bus 1 drukknop gun metal;0 st.;300 €;0 €;;
DTBS-B1??;Schakelaar op bus 1 drukknop ???;0 st.;0 €;0 €;;
;Serenity button drukknop tweevoudig;;;;;
;;;;;;
DTBS-B2Ab;Schakelaar op bus 2 drukknoppen alu zwart;0 st.;240 €;0 €;;
DTBS-B2Ag;Schakelaar op bus 2 drukknoppen alu grijs;0 st.;240 €;0 €;;
DTBS-B2Alw;Schakelaar op bus 2 drukknoppen alu lak wit;0 st.;270 €;0 €;;
DTBS-B2Br;Schakelaar op bus 2 drukknoppen brons;0 st.;340 €;0 €;;
DTBS-B2BrL;Schakelaar op bus 2 drukknoppen brons light;0 st.;340 €;0 €;;
DTBS-B2GM;Schakelaar op bus 2 drukknoppen gun metal;0 st.;340 €;0 €;;
DTBS-B2??;Schakelaar op bus 2 drukknoppen ???;0 st.;0 €;0 €;;
;Serenity button drukknop viervoudig;;;;;
;;;;;;
DTBS-B4Ab;Schakelaar op bus 4 drukknoppen alu zwart;0 st.;280 €;0 €;;
DTBS-B4Ag;Schakelaar op bus 4 drukknoppen alu grijs;0 st.;280 €;0 €;;
DTBS-B4Alw;Schakelaar op bus 4 drukknoppen alu lak wit;0 st.;310 €;0 €;;
DTBS-B4Br;Schakelaar op bus 4 drukknoppen brons;0 st.;380 €;0 €;;
DTBS-B4BrL;Schakelaar op bus 4 drukknoppen brons light;0 st.;380 €;0 €;;
DTBS-B4GM;Schakelaar op bus 4 drukknoppen gun metal;0 st.;380 €;0 €;;
DTBS-B4??;Schakelaar op bus 4 drukknoppen ???;0 st.;0 €;0 €;;
;;;;;;
;Velocity switch hendel enkelvoudig;;;;;
;;;;;;
DTBS-H1Ab;Schakelaar op bus 1 hendel alu zwart;0 st.;320 €;0 €;;
DTBS-H1Ag;Schakelaar op bus 1 hendel alu grijs;0 st.;320 €;0 €;;
DTBS-H1Alw;Schakelaar op bus 1 hendel alu lak wit;0 st.;350 €;0 €;;
DTBS-H1Br;Schakelaar op bus 1 hendel brons;0 st.;420 €;0 €;;
DTBS-H1BrL;Schakelaar op bus 1 hendel brons light;0 st.;420 €;0 €;;
DTBS-H1GM;Schakelaar op bus 1 hendel gun metal;0 st.;420 €;0 €;;
DTBS-H1??;Schakelaar op bus 1 hendel ???;0 st.;0 €;0 €;;
;Velocity switch hendel tweevoudig;;;;;
;;;;;;
DTBS-H2Ab;Schakelaar op bus 2 hendels alu zwart;0 st.;370 €;0 €;;
DTBS-H2Ag;Schakelaar op bus 2 hendels alu grijs;0 st.;370 €;0 €;;
DTBS-H2Alw;Schakelaar op bus 2 hendels alu lak wit;0 st.;400 €;0 €;;
DTBS-H2Br;Schakelaar op bus 2 hendels brons;0 st.;470 €;0 €;;
DTBS-H2BrL;Schakelaar op bus 2 hendels brons light;0 st.;470 €;0 €;;
DTBS-H2GM;Schakelaar op bus 2 hendels gun metal;0 st.;470 €;0 €;;
DTBS-H2??;Schakelaar op bus 2 hendels ???;0 st.;0 €;0 €;;
;Velocity switch hendel viervoudig;;;;;
;;;;;;
DTBS-H4Ab;Schakelaar op bus 4 hendels alu zwart;0 st.;420 €;0 €;;
DTBS-H4Ag;Schakelaar op bus 4 hendels alu grjs;0 st.;420 €;0 €;;
DTBS-H4Alw;Schakelaar op bus 4 hendels alu lak wit;0 st.;450 €;0 €;;
DTBS-H4Br;Schakelaar op bus 4 hendels brons;0 st.;520 €;0 €;;
DTBS-H4BrL;Schakelaar op bus 4 hendels brons light;0 st.;520 €;0 €;;
DTBS-H4GM;Schakelaar op bus 4 hendels gun metal;0 st.;520 €;0 €;;
DTBS-H4??;Schakelaar op bus 4 hendels ???;0 st.;0 €;0 €;;
;;;;;;
;;;;;;
;Programmatie domotica (+/-);2 st.;79 €;158 €;;
;;;;;;
;;;;;;
;Easytouch;0 st.;;0 €;;
;;0 st.;;;;
;;;;;;
DT1ET-4Ag; op bus 4 kanalen met easytouch, 8 functies in aluminium;0 st.;460 €;0 €;;
DT1ET-4Ab; op bus 4 kanalen met easytouch, 8 functies in aluminium zwart;0 st.;460 €;0 €;;
DT1ET-4ALw; op bus 4 kanalen met easytouch, 8 functies in aluminium lak wit;0 st.;490 €;0 €;;
DT1ET-4Br; op bus 4 kanalen met easytouch, 8 functies in brons;0 st.;560 €;0 €;;
DT1ET-4BrL; op bus 4 kanalen met easytouch, 8 functies in brons light;0 st.;560 €;0 €;;
DT1ET-4GM; op bus 4 kanalen met easytouch, 8 functies in gun metal;0 st.;560 €;0 €;;
DT1ET-4Cw; op bus 4 kanalen met easytouch, 8 functies in Corian wit;0 st.;460 €;0 €;;
;;;;;;
;Smarttouch;0 st.;;0 €;;
;;0 st.;;;;
;;;;;;
DT1C-4Ag; op bus 4 kanalen met smarttouch, 8 functies in aluminium;0 st.;490 €;0 €;;
DT1C-4Ab; op bus 4 kanalen met smarttouch, 8 functies in aluminium zwart;0 st.;490 €;0 €;;
DT1C-4ALw; op bus 4 kanalen met smarttouch, 8 functies in aluminium lak wit;0 st.;520 €;0 €;;
DT1C-4Br; op bus 4 kanalen met smarttouch, 8 functies in brons;0 st.;590 €;0 €;;
DT1C-4BrL; op bus 4 kanalen met smarttouch, 8 functies in brons Light;0 st.;590 €;0 €;;
DT1C-4GM; op bus 4 kanalen met smarttouch, 8 functies in gun metal;0 st.;590 €;0 €;;
DT1C-4Cw; op bus 4 kanalen met smarttouch, 8 functies in Corian wit;0 st.;490 €;0 €;;
;;;;;;
;Room E;0 st.;;0 €;;
;;0 st.;;;;
;;;;;;
DT1E-4Ag; op bus 4 kanalen met room-e, 8 functies in aluminium;0 st.;460 €;0 €;;
DT1E-4Ab; op bus 4 kanalen met room-e, 8 functies in aluminium zwart;0 st.;460 €;0 €;;
DT1E-4ALw; op bus 4 kanalen met room-e, 8 functies in aluminium lak wit;0 st.;490 €;0 €;;
DT1E-4Br; op bus 4 kanalen met room-e, 8 functies in brons;0 st.;560 €;0 €;;
DT1E-4BrL; op bus 4 kanalen met room-e, 8 functies in brons light ;0 st.;560 €;0 €;;
DT1E-4GM; op bus 4 kanalen met room-e, 8 functies in gun metal;0 st.;560 €;0 €;;
DT1E-4Cw; op bus 4 kanalen met room-e, 8 functies in Corian wit;0 st.;460 €;0 €;;
;;;;;;
;Programmatie domotica (+/-);0 st.;79 €;0 €;;
;;;;;;
;Bewegingsdetectoren;;;;;
;;;;;;
DT40-Bw;Bewegingsdetector duotecno inbouw (wit);0 st.;140 €;0 €;;
DT40-Bb;Bewegingsdetector duotecno inbouw (zwart);0 st.;140 €;0 €;;
DT40-Sw;Bewegingsdetector duotecno inbouw (klein wit);0 st.;140 €;0 €;;
DT40-Sb;Bewegingsdetector duotecno inbouw (klein zwart);0 st.;140 €;0 €;;
DT43-W;Bewegingsdetector duotecno inbouw lijn wit;0 st.;140 €;0 €;;
DT43-B;Bewegingsdetector duotecno inbouw lijn zwart;0 st.;140 €;0 €;;
